Cluster	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
kge_0	GO:0006261	DNA-templated DNA replication	14/303	152/28891	8.58678316846704e-10	2.41803814024032e-06	2.0635395761695e-06	Cdt1/Pold1/Pole3/Rfc4/Orc5/Orc6/Rfc5/Mcm5/Lig1/Prim1/Mcm4/Cdc7/Orc2/Rrm1	14	kge
kge_0	GO:0034470	ncRNA processing	20/303	413/28891	1.83787833816634e-08	1.29386635006911e-05	1.10417795948257e-05	Wdr6/Alkbh8/Ftsj3/Isg20/Bysl/Elp3/Pwp1/Wdr75/Elac2/Elp2/Rexo4/Wdr55/Wdr4/Ftsj1/Trmt11/Dus1l/Pwp2/Dcaf13/Utp4/Thumpd3	20	kge
kge_0	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	21/303	451/28891	1.58453065649568e-08	1.29386635006911e-05	1.10417795948257e-05	Fbxw5/Dcaf11/Pml/Yod1/Cul4a/Psen2/Cul2/Topors/Gclc/Rnf19a/Psmf1/Ercc8/Tmem129/Stt3b/Pja2/Ube2g2/Ubxn2b/Klhl22/Rmnd5b/Dcaf13/Fem1b	21	kge
kge_0	GO:0006270	DNA replication initiation	7/303	33/28891	4.40386347146758e-08	2.48025590713054e-05	2.1166358537601e-05	Cdt1/Orc5/Orc6/Mcm5/Prim1/Mcm4/Orc2	7	kge
kge_0	GO:0006783	heme biosynthetic process	6/303	26/28891	2.44377645423637e-07	0.000114694574918827	9.78796779828356e-05	Slc11a2/Uros/Hmbs/Cpox/Fech/Alad	6	kge
kge_0	GO:0006399	tRNA metabolic process	12/303	181/28891	5.23671567871342e-07	0.000210665590732243	0.000179780780368462	Wdr6/Alkbh8/Iars2/Elp3/Hars2/Elac2/Elp2/Wdr4/Ftsj1/Trmt11/Dus1l/Thumpd3	12	kge
kge_0	GO:0006779	porphyrin-containing compound biosynthetic process	6/303	31/28891	7.47804175919929e-07	0.000222412415475834	0.000189805451753637	Slc11a2/Uros/Hmbs/Cpox/Fech/Alad	6	kge
kge_0	GO:0008033	tRNA processing	10/303	124/28891	7.89816816320433e-07	0.000222412415475834	0.000189805451753637	Wdr6/Alkbh8/Elp3/Elac2/Elp2/Wdr4/Ftsj1/Trmt11/Dus1l/Thumpd3	10	kge
kge_0	GO:0033014	tetrapyrrole biosynthetic process	6/303	31/28891	7.47804175919929e-07	0.000222412415475834	0.000189805451753637	Slc11a2/Uros/Hmbs/Cpox/Fech/Alad	6	kge
kge_0	GO:0022613	ribonucleoprotein complex biogenesis	18/303	440/28891	1.12409565285977e-06	0.000287768487132101	0.000245579940237211	Fastkd2/Crnkl1/Pno1/Cul4a/Ftsj3/Isg20/Prmt7/Bysl/Pwp1/Xab2/Wdr75/Xrcc5/Rexo4/Wdr55/Ddx20/Pwp2/Dcaf13/Utp4	18	kge
kge_1	GO:1903706	regulation of hemopoiesis	29/219	452/28891	1.40931583451631e-18	4.8480464707361e-15	3.09456087452739e-15	Jak3/Prdm16/Smarca2/Cbfb/Anxa1/Fos/Zfp36/Gimap5/Tmem176a/Gata2/Jun/Hcls1/Cd1d1/Pglyrp2/Id2/Meis1/Rorc/Ctla2a/Gpr171/Tmem176b/Mpl/Ets1/Hoxa9/Spi1/Mef2c/Il15/Irf1/Nfkbia/Stat3	29	kge
kge_1	GO:0030098	lymphocyte differentiation	28/219	486/28891	9.30268885396337e-17	1.6000624828817e-13	1.02133731312461e-13	Jak3/Satb1/Gimap1/Smarca2/Plcg2/Cbfb/Anxa1/Rora/Gimap5/Egr1/Mfng/Ahr/Cd1d1/Pglyrp2/Id2/Hdac9/Relb/Rorc/Nfatc1/Ctla2a/Igkc/Runx2/Spi1/Irf8/Il15/Irf1/Pbx1/Stat3	28	kge
kge_1	GO:0030099	myeloid cell differentiation	26/219	480/28891	5.39805329758402e-15	6.18976778122968e-12	3.95099620307378e-12	Tlr4/Prdm16/Cbfb/Fos/Zfp36/Gimap5/Gata2/Jun/Hcls1/Id2/Epas1/Meis1/Relb/Batf2/Nfatc1/Gpr171/Mpl/Ets1/Hoxa9/Spi1/Mef2c/Irf8/Il15/Stap1/Nfkbia/Stat3	26	kge
kge_1	GO:0048872	homeostasis of number of cells	22/219	401/28891	5.81154936010921e-13	4.99793244969392e-10	3.190234727681e-10	Jak3/Myct1/Smarca2/Anxa1/Zfp36/Mecom/Gimap5/Spns2/Notch1/Gata2/Hcls1/Ahr/Id2/Epas1/Glis2/Tsc22d3/Mpl/Ets1/Spi1/Tnfrsf13b/Mef2c/Stat3	22	kge
kge_1	GO:1902105	regulation of leukocyte differentiation	20/219	363/28891	6.37616768009197e-12	4.38680336390328e-09	2.80014437487829e-09	Jak3/Prdm16/Smarca2/Cbfb/Anxa1/Fos/Gimap5/Tmem176a/Gata2/Jun/Hcls1/Cd1d1/Pglyrp2/Id2/Rorc/Ctla2a/Tmem176b/Spi1/Il15/Irf1	20	kge
