cell_type,rank,Gene1,Gene2,EdgeWeight
ctx_ip,1,MYT1L,CTNNA2,46.42692998142097
ctx_ip,2,MYT1L,LRRC7,46.41333092961992
ctx_ip,3,MYT1L,CNTNAP2,45.805732822374594
ctx_ip,4,MYT1L,ANKS1B,45.18323257817982
ctx_ip,5,MYT1L,PTPRD,44.85623921169493
ctx_ip,6,MYT1L,HECW1,44.60794671507126
ctx_ip,7,BCL11A,MALAT1,43.020407653624446
ctx_ip,8,KDM5B,MALAT1,41.29583031306881
ctx_ip,9,BCL11A,TMSB4X,41.26116829246057
ctx_ip,10,MYT1L,STMN2,40.8680123496341
ctx_ip,11,BCL11A,AL589740.1,40.43692522694725
ctx_ip,12,MYT1L,MALAT1,40.33746885898584
ctx_ip,13,KDM5B,TMSB4X,39.888933432689264
ctx_ip,14,MYT1L,DOCK4,39.64270731318481
ctx_ip,15,BCL11A,DCC,39.15405970373151
ctx_ip,16,BCL11A,ROBO2,39.0074221378753
ctx_ip,17,MYT1L,TMSB4X,38.55397212619586
ctx_ip,18,BCL11A,NRXN1,38.46140016971592
ctx_ip,19,BCL11A,DLGAP1,38.31335739475316
ctx_ip,20,BCL11A,TUBA1A,38.30541549899809
ctx_ip,21,BCL11A,NFIA,38.30010656454598
ctx_ip,22,BCL11A,TMSB10,38.29370307362686
ctx_ip,23,BCL11A,SOX4,38.28578658257513
ctx_ip,24,BCL11A,MT-CO1,38.22639555517408
ctx_ip,25,MYT1L,AL589740.1,38.13288439885409
ctx_ip,26,BCL11A,MT-CO3,38.127075766538944
ctx_ip,27,BCL11A,MT-CO2,38.12707573824414
ctx_ip,28,BCL11A,NFIB,38.07571530500092
ctx_ip,29,BCL11A,GPM6A,38.042589856789206
ctx_ip,30,BCL11A,MEIS2,37.974021628506456
ctx_ip,31,BCL11A,MT-ATP6,37.957187132410844
ctx_ip,32,BCL11A,MT-CYB,37.93840946984206
ctx_ip,33,BCL11A,MAP1B,37.876094613345
ctx_ip,34,BCL11A,MT-ND3,37.87234524095151
ctx_ip,35,BCL11A,FTX,37.86166892171258
ctx_ip,36,BCL11A,IL1RAPL1,37.81248420771418
ctx_ip,37,BCL11A,ACTG1,37.75767155978301
ctx_ip,38,BCL11A,ACTB,37.742579631317355
ctx_ip,39,KDM5B,AL589740.1,37.72387104918826
ctx_ip,40,MYT1L,DCC,37.690177100800476
ctx_ip,41,BCL11A,AUTS2,37.68778882897959
ctx_ip,42,MYT1L,PPFIA2,37.46592153170495
ctx_ip,43,BCL11A,SOX11,37.45805226189109
ctx_ip,44,BCL11A,MAP2,37.389923719517334
ctx_ip,45,BCL11A,TCF4,37.23110168958436
ctx_ip,46,MYT1L,ROBO2,37.07920664851448
ctx_ip,47,BCL11A,MT-ND4,36.79627189930866
ctx_ip,48,MYT1L,PPP2R2B,36.78556190746856
ctx_ip,49,BCL11A,DCX,36.64647929964792
ctx_ip,50,BCL11A,RPL10,36.57901351567908
ctx_ip,51,KDM5B,MT-CO1,36.55616976161795
ctx_ip,52,BCL11A,STMN2,36.390432019753064
ctx_ip,53,MYT1L,PLCB1,36.36430299447404
ctx_ip,54,BCL11A,TUBB2B,36.325883568673895
ctx_ip,55,KDM5B,TUBA1A,36.32210839738835
ctx_ip,56,MYT1L,DLGAP1,36.305753948854
ctx_ip,57,KDM5B,SOX4,36.277885589020414
ctx_ip,58,BCL11A,ADGRB3,36.23441412806498
ctx_ip,59,MYT1L,NRXN1,36.20304841022145
ctx_ip,60,KDM5B,MT-CO3,36.189940847389046
ctx_ip,61,KDM5B,MT-CO2,36.189940814860904
ctx_ip,62,KDM5B,TMSB10,36.137632414475945
ctx_ip,63,KDM5B,MT-ATP6,36.073303408976116
ctx_ip,64,MYT1L,NFIA,36.07227589667547
ctx_ip,65,MYT1L,IL1RAPL1,36.06153757897598
ctx_ip,66,KDM5B,MT-CYB,36.00738984795639
ctx_ip,67,MYT1L,ANK3,36.00311388125681
ctx_ip,68,MYT1L,FRMD4B,35.93800849162113
ctx_ip,69,BCL11A,ZBTB20,35.91682695259488
ctx_ip,70,BCL11A,STMN1,35.90471246507399
ctx_ip,71,MYT1L,NFIB,35.88399647305037
ctx_ip,72,MYT1L,GPM6A,35.83896745175596
ctx_ip,73,KDM5B,NRXN1,35.81278808644806
ctx_ip,74,KDM5B,ROBO2,35.812320272031776
ctx_ip,75,MYT1L,TMSB10,35.802793934219565
ctx_ip,76,MYT1L,AUTS2,35.79050489488428
ctx_ip,77,MYT1L,MEIS2,35.77564505313043
ctx_ip,78,BCL11A,PDE4D,35.69151897835742
ctx_ip,79,MYT1L,TUBA1A,35.67634578996593
ctx_ip,80,MYT1L,FAM155A,35.675115870553896
ctx_ip,81,MYT1L,FTX,35.668440026276016
ctx_ip,82,MYT1L,SOX4,35.66040270544396
ctx_ip,83,KDM5B,NFIA,35.62420004688855
ctx_ip,84,MYT1L,GPHN,35.56382002422582
ctx_ip,85,KDM5B,ACTG1,35.56022641568018
ctx_ip,86,MYT1L,MAP1B,35.53721460747347
ctx_ip,87,MYT1L,MT-ND3,35.51860693511314
ctx_ip,88,KDM5B,ACTB,35.506767927347845
ctx_ip,89,KDM5B,MT-ND3,35.49915462781889
ctx_ip,90,MYT1L,MAP2,35.497870888003746
ctx_ip,91,MYT1L,MT-CO3,35.485848992430384
