cell_type,rank,Gene1,Gene2,EdgeWeight
ctx_npc,1,KDM5B,MALAT1,40.79494672305781
ctx_npc,2,BCL11A,MALAT1,40.10502003692044
ctx_npc,3,KDM5B,TMSB4X,38.44551234451491
ctx_npc,4,KDM5B,SOX4,38.03106019965
ctx_npc,5,KDM5B,MT-CO1,37.344927950656846
ctx_npc,6,KDM5B,MT-CO3,37.23174497661491
ctx_npc,7,KDM5B,MT-CO2,37.03791508996534
ctx_npc,8,BCL11A,TMSB4X,36.95086776030187
ctx_npc,9,KDM5B,DLGAP1,36.92537750872492
ctx_npc,10,KDM5B,IL1RAPL1,36.898474618917135
ctx_npc,11,KDM5B,MT-ATP6,36.89027209903464
ctx_npc,12,KDM5B,NFIA,36.88196381883868
ctx_npc,13,KDM5B,MT-CYB,36.56729032016614
ctx_npc,14,KDM5B,NKAIN3,36.47538715730954
ctx_npc,15,KDM5B,MT-ND3,36.46833555577334
ctx_npc,16,KDM5B,TUBA1A,36.41291910354101
ctx_npc,17,KDM5B,MT-ND4,36.39501063657487
ctx_npc,18,KDM5B,PDE4D,36.385248373429185
ctx_npc,19,KDM5B,SYNE2,36.31693548968394
ctx_npc,20,KDM5B,ACTG1,36.25460822490773
ctx_npc,21,KDM5B,ACTB,36.25279253365627
ctx_npc,22,KDM5B,MAP1B,36.15493037681971
ctx_npc,23,KDM5B,MEIS2,36.08883185876038
ctx_npc,24,KDM5B,ZBTB20,36.04876433749018
ctx_npc,25,BCL11A,SOX4,36.027961491223266
ctx_npc,26,KDM5B,PDE10A,35.99185958482701
ctx_npc,27,BCL11A,IL1RAPL1,35.98222876366717
ctx_npc,28,KDM5B,NFIB,35.88487902413038
ctx_npc,29,BCL11A,MT-CO1,35.87293062134417
ctx_npc,30,KDM5B,MIR99AHG,35.869396419033414
ctx_npc,31,BCL11A,NFIA,35.860018825509144
ctx_npc,32,BCL11A,MT-CO3,35.84204569292279
ctx_npc,33,BCL11A,NLGN1,35.828501694660105
ctx_npc,34,BCL11A,PLCB1,35.80195070263333
ctx_npc,35,KDM5B,NLGN1,35.768778547009696
ctx_npc,36,BCL11A,PDE4D,35.7666326759456
ctx_npc,37,BCL11A,DLGAP1,35.75445176580743
ctx_npc,38,KDM5B,GPC6,35.751236839124104
ctx_npc,39,BCL11A,MT-CO2,35.71748745967312
ctx_npc,40,BCL11A,PDE10A,35.70908401159062
ctx_npc,41,BCL11A,MT-ATP6,35.682439555781556
ctx_npc,42,BCL11A,GPC6,35.6722980952848
ctx_npc,43,BCL11A,NKAIN3,35.61780261412218
ctx_npc,44,KDM5B,FTX,35.48906388143759
ctx_npc,45,KDM5B,TCF4,35.42997719501061
ctx_npc,46,BCL11A,MEIS2,35.36256211209957
ctx_npc,47,BCL11A,ZBTB20,35.35971814956976
ctx_npc,48,BCL11A,MT-CYB,35.343607665267186
ctx_npc,49,BCL11A,NFIB,35.29744956827324
ctx_npc,50,BCL11A,MAP1B,35.29495273201079
ctx_npc,51,BCL11A,SYNE2,35.2758308022544
ctx_npc,52,BCL11A,ACTB,35.274893563876404
ctx_npc,53,BCL11A,MT-ND4,35.23497550467143
ctx_npc,54,BCL11A,TUBA1A,35.23025317712671
ctx_npc,55,KDM5B,RPL10,35.227395842998654
