cell_type,rank,Gene1,Gene2,EdgeWeight
ge_in,1,MYT1L,ERBB4,48.88455210629343
ge_in,2,MYT1L,CCSER1,46.62506410973601
ge_in,3,MYT1L,EPHA5,44.81939712604432
ge_in,4,MYT1L,ANKS1B,44.42693402859094
ge_in,5,MYT1L,ADARB2,43.06240890055558
ge_in,6,MYT1L,PCDH9,40.92103223744217
ge_in,7,MYT1L,STMN2,40.65939658039008
ge_in,8,MYT1L,DLGAP1,40.65939655913275
ge_in,9,MYT1L,LRRC7,39.91080463744495
ge_in,10,MYT1L,CSMD3,38.29324626283306
ge_in,11,MYT1L,NRG3,37.05868963233089
ge_in,12,MYT1L,NRIP3,34.44182963884118
ge_in,13,MYT1L,NPAS3,33.27516314145249
ge_in,14,MYT1L,PRKCA,32.43981368242591
ge_in,15,MYT1L,PDZRN3,32.41677370198555
ge_in,16,MYT1L,NR2F1,31.7568111929388
ge_in,17,MYT1L,AP1S2,31.756810892830135
ge_in,18,KDM5B,MALAT1,30.532501561417842
ge_in,19,MYT1L,ERC2,30.10809522579015
ge_in,20,MYT1L,SLAIN1,29.566585445997507
ge_in,21,MYT1L,GRIA1,28.289013946240075
ge_in,22,MYT1L,PDE4DIP,28.22810079833648
ge_in,23,MYT1L,CACNA1C,28.168494812677203
ge_in,24,MYT1L,PTPRO,27.893469774257703
ge_in,25,MYT1L,ZNF704,27.63453088707301
ge_in,26,MYT1L,THRB,27.34508305096355
ge_in,27,MYT1L,ZEB2,27.230285112378073
ge_in,28,MYT1L,TNR,27.187731917014155
ge_in,29,MYT1L,DPP6,27.054760962498676
ge_in,30,MYT1L,SYT1,26.789956772626976
ge_in,31,MYT1L,SLC2A13,26.759751195993722
ge_in,32,MYT1L,RIPOR2,26.364698348466266
ge_in,33,KDM5B,NRXN3,26.015941618925513
ge_in,34,MYT1L,PLS3,25.89754065978936
ge_in,35,KDM5B,SNTG1,25.848023923744393
ge_in,36,MYT1L,HIVEP3,25.83503055255297
ge_in,37,KDM5B,SOX4,25.774599283355496
ge_in,38,KDM5B,TMSB4X,25.60396754071121
ge_in,39,KDM5B,DLX6-AS1,25.5039018049977
ge_in,40,KDM5B,TUBA1A,25.414224517955756
ge_in,41,KDM5B,MT-CO1,25.277835097746788
ge_in,42,KDM5B,NAV3,25.029687850692948
ge_in,43,KDM5B,MT-CO3,24.966607757617293
ge_in,44,KDM5B,ROBO2,24.936734877177216
ge_in,45,KDM5B,DCX,24.864433453655877
ge_in,46,KDM5B,NRXN1,24.856199363696984
ge_in,47,KDM5B,MT-ATP6,24.79936828607961
ge_in,48,KDM5B,TMSB10,24.794252816765145
ge_in,49,KDM5B,TCF4,24.777553695873152
ge_in,50,MYT1L,LINC00632,24.76902218319276
ge_in,51,KDM5B,MT-CO2,24.75714289512262
ge_in,52,MYT1L,SNAP91,24.723375198628663
ge_in,53,KDM5B,MT-CYB,24.577943400635824
ge_in,54,KDM5B,ACTG1,24.547629928133052
ge_in,55,KDM5B,MT-ND3,24.542002863391495
ge_in,56,BCL11A,MALAT1,24.443031900983158
ge_in,57,MYT1L,ZNF536,24.339254571701876
ge_in,58,KDM5B,FTX,24.25838329479242
ge_in,59,MYT1L,CTNND2,24.209265837181846
ge_in,60,KDM5B,MAP1B,24.176589325791745
ge_in,61,KDM5B,NFIA,24.120398698787735
ge_in,62,MYT1L,MALAT1,24.044571050162997
ge_in,63,KDM5B,ACTB,23.98688014440159
ge_in,64,KDM5B,PDE4D,23.974727400352464
ge_in,65,KDM5B,GPM6A,23.93764831100662
ge_in,66,KDM5B,TUBB2B,23.672938715708582
ge_in,67,KDM5B,MAP2,23.424415562735337
ge_in,68,KDM5B,RPL10,23.36964763594175
ge_in,69,KDM5B,AUTS2,23.35704243253093
ge_in,70,KDM5B,NFIB,23.190240730246067
ge_in,71,KDM5B,CASC15,23.170969501279387
ge_in,72,MYT1L,NRXN1,23.10331302620586
ge_in,73,KDM5B,CCDC88A,23.0697079755189
ge_in,74,MYT1L,SH3RF3,22.931928892292465
ge_in,75,MYT1L,CTNNA2,22.831735352019297
ge_in,76,ASH1L,MALAT1,22.828339817346112
ge_in,77,MYT1L,BASP1,22.819758487329402
ge_in,78,MYT1L,PPFIA2,22.754781974636835
ge_in,79,KMT2A,MALAT1,22.738925926697835
ge_in,80,MYT1L,CRACD,22.642219950294294
ge_in,81,KDM5B,MT-ND4,22.57959430119083
ge_in,82,KDM5B,TUBB,22.54518325683515
ge_in,83,MYT1L,SOX11,22.53334319130704
ge_in,84,MYT1L,TRIM24,22.50258684202833
ge_in,85,MYT1L,ANK2,22.20426080935092
ge_in,86,MYT1L,CASK,21.988055113404965
ge_in,87,KDM5B,RPS19,21.83192923823839
ge_in,88,KDM5B,SOX11,21.600584542794262
ge_in,89,KDM5B,FTH1,21.542975780262736
ge_in,90,MYT1L,DCLK2,21.54027696457794
ge_in,91,MYT1L,MYCBP2,21.462313512367714
ge_in,92,MYT1L,FAM171B,21.440250909975898
ge_in,93,KDM5B,SOX5,21.418252382661283
ge_in,94,KDM5B,CRACD,21.374621489980708
ge_in,95,MYT1L,DCLK1,21.34196483097451
ge_in,96,MYT1L,MT-ND2,21.293111178807838
ge_in,97,KDM5B,LSAMP,21.2459108674673
ge_in,98,KDM5B,PAK3,21.164146119252813
ge_in,99,BCL11A,NRXN3,21.141076359349885
ge_in,100,KDM5B,DCLK2,21.12045309080825
ge_in,101,MYT1L,SLCO5A1,21.070249906431705
ge_in,102,KDM5B,STMN1,21.055439425894487
ge_in,103,MYT1L,CELF4,21.032113445468244
ge_in,104,KDM5B,KALRN,21.02458696036131
ge_in,105,BCL11A,TMSB4X,20.979486464115396
ge_in,106,KDM5B,CERS6,20.958096979448918
ge_in,107,MYT1L,EEA1,20.953878906412477
ge_in,108,MYT1L,DSCAML1,20.88825748868989
ge_in,109,BCL11A,SOX4,20.883548947492958
ge_in,110,BCL11A,SNTG1,20.854293635875813
ge_in,111,KDM5B,SYT1,20.804856181009374
ge_in,112,KDM5B,CTNNA2,20.799360847321754
ge_in,113,BCL11A,MT-CO1,20.755176965367802
ge_in,114,KDM5B,RPS4X,20.748521062821048
ge_in,115,KDM5B,H3-3B,20.72185645001411
ge_in,116,MYT1L,KALRN,20.699573523383094
ge_in,117,BCL11A,TUBA1A,20.68959331505393
ge_in,118,KDM5B,RPS8,20.674852933741743
ge_in,119,MYT1L,DCN,20.637097161695458
ge_in,120,BCL11A,DLX6-AS1,20.636083938204855
ge_in,121,BCL11A,MT-CO3,20.579026390286597
ge_in,122,KDM5B,DCLK1,20.531257019207796
ge_in,123,MYT1L,GNAQ,20.516488672458344
