cell_type,rank,Gene1,Gene2,EdgeWeight
ge_npc,1,BCL11A,NRXN3,39.17709619151031
ge_npc,2,KDM5B,MALAT1,33.440979200875354
ge_npc,3,BCL11A,CASC15,33.25927156436731
ge_npc,4,BCL11A,EPHA3,31.870410057991958
ge_npc,5,BCL11A,DLX6-AS1,31.440118192061707
ge_npc,6,BCL11A,ATRNL1,30.691207738373244
ge_npc,7,BCL11A,GAD2,30.437174605105238
ge_npc,8,BCL11A,PDE4D,30.314977088681278
ge_npc,9,BCL11A,MYO3A,30.303243707821064
ge_npc,10,BCL11A,KCNB2,30.227632475463388
ge_npc,11,BCL11A,DCX,30.093151878167333
ge_npc,12,KDM5B,NRXN1,29.965447290116035
ge_npc,13,BCL11A,KALRN,29.467056945194614
ge_npc,14,ASH1L,MALAT1,29.39167483404641
ge_npc,15,BCL11A,LINC02256,29.131713297752302
ge_npc,16,BCL11A,GLCCI1,29.091044886870833
ge_npc,17,BCL11A,CRACD,29.081601150280115
ge_npc,18,KDM5B,SOX4,28.908152522166567
ge_npc,19,BCL11A,RND3,28.787906420738643
ge_npc,20,KDM5B,LSAMP,28.685026382459757
ge_npc,21,BCL11A,PLS3,28.653619720078304
ge_npc,22,BCL11A,TIAM1,28.65322432809769
ge_npc,23,KDM5B,TMSB4X,28.54129706520258
ge_npc,24,KDM5B,SNTG1,28.462119486890384
ge_npc,25,BCL11A,SMOC1,28.410743504929926
ge_npc,26,BCL11A,DAAM1,28.036306426778562
ge_npc,27,BCL11A,SOX4,28.01696859446231
ge_npc,28,KDM5B,SOX5,28.00451572186479
ge_npc,29,KDM5B,GPM6B,27.93816681672975
ge_npc,30,BCL11A,DPYSL3,27.93615633383298
ge_npc,31,KDM5B,NRG3,27.74563843384863
ge_npc,32,ASH1L,NRXN1,27.698400126389267
ge_npc,33,BCL11A,MPPED2,27.68323734415664
ge_npc,34,BCL11A,BASP1,27.671203635326027
ge_npc,35,KDM5B,ROBO2,27.623129622514128
ge_npc,36,KDM5B,NFIA,27.556221225219694
ge_npc,37,KDM5B,MAP2,27.546115985474056
ge_npc,38,KDM5B,MIR99AHG,27.377447627315494
ge_npc,39,BCL11A,CERS6,27.151715278290048
ge_npc,40,KDM5B,MT-CO1,27.146871330643837
ge_npc,41,BCL11A,PAK3,27.09756194508172
ge_npc,42,BCL11A,DLX5,27.01901518089401
ge_npc,43,ASH1L,SOX5,26.884577014489675
ge_npc,44,ASH1L,LSAMP,26.865220960206052
ge_npc,45,KDM5B,TCF4,26.861828468861614
ge_npc,46,BCL11A,SOX11,26.86106942858381
ge_npc,47,KDM5B,ZBTB20,26.85891069928607
ge_npc,48,ASH1L,NRG3,26.767548651337194
ge_npc,49,KDM5B,PTPRZ1,26.7297564119284
ge_npc,50,BCL11A,TOX3,26.691920909469406
ge_npc,51,ASH1L,MIR99AHG,26.628100762337148
ge_npc,52,BCL11A,ZEB2,26.555265177986985
ge_npc,53,KDM5B,MT-CO2,26.550134714457162
ge_npc,54,BCL11A,CCDC88A,26.54217171207172
ge_npc,55,ASH1L,PDE10A,26.46273991657949
ge_npc,56,ASH1L,FTX,26.451324264459267
ge_npc,57,KDM5B,FTX,26.44665201462159
ge_npc,58,ASH1L,ROBO2,26.44123873618375
ge_npc,59,KDM5B,PDE10A,26.393196778312763
ge_npc,60,BCL11A,MALAT1,26.385582827308408
ge_npc,61,BCL11A,KCNH7,26.371192845059017
ge_npc,62,KDM5B,QKI,26.369460528748736
ge_npc,63,ASH1L,PDE4B,26.343765906293413
ge_npc,64,KDM5B,MT-ATP6,26.328953265239075
ge_npc,65,KDM5B,MT-CO3,26.32895302402752
ge_npc,66,ASH1L,ADGRB3,26.31629393549361
ge_npc,67,ASH1L,ZBTB20,26.256161407680665
ge_npc,68,ASH1L,AUTS2,26.230231960482715
ge_npc,69,BCL11A,ELAVL4,26.17239493422881
ge_npc,70,ASH1L,QKI,26.130362331111748
ge_npc,71,KDM5B,AUTS2,26.073510292955195
ge_npc,72,ASH1L,SOX4,26.040296620359108
ge_npc,73,ASH1L,AC233296.1,26.019397257391454
ge_npc,74,KDM5B,PDE4B,26.004751864669604
ge_npc,75,ASH1L,LINC00461,25.934177436729634
ge_npc,76,ASH1L,MAML2,25.92320252743867
ge_npc,77,KDM5B,MT-ND3,25.908101915251635
ge_npc,78,BCL11A,ST18,25.90073345731476
ge_npc,79,BCL11A,SERINC5,25.85747032460715
ge_npc,80,BCL11A,CCND2,25.8552351967376
ge_npc,81,BCL11A,ELF2,25.847589248585063
ge_npc,82,KDM5B,MT-CYB,25.78046940349684
ge_npc,83,BCL11A,MLLT3,25.769641316434438
ge_npc,84,ASH1L,GPM6A,25.728612546795144
ge_npc,85,KDM5B,LINC00461,25.7248445003707
ge_npc,86,KDM5B,MT-ND4,25.696435062568032
ge_npc,87,ASH1L,DLEU2,25.649677075448857
ge_npc,88,ASH1L,PTPRZ1,25.64112089456058
ge_npc,89,BCL11A,NCAM1,25.621559813806165
ge_npc,90,KDM5B,ADGRB3,25.619304658180532
ge_npc,91,KDM5B,TUBA1A,25.60119227103229
ge_npc,92,BCL11A,DLEU2,25.5883675296683
ge_npc,93,ASH1L,ADGRV1,25.52440067731018
ge_npc,94,BCL11A,ARX,25.47309042948325
ge_npc,95,ASH1L,KCNH7,25.468227112241692
ge_npc,96,ASH1L,TCF12,25.46190439098121
ge_npc,97,ASH1L,CTNNA2,25.417672291976082
ge_npc,98,BCL11A,SYNE2,25.366148237856574
ge_npc,99,BCL11A,SH3RF3,25.362797287138932
ge_npc,100,ASH1L,TTC28,25.35360826411625
ge_npc,101,KDM5B,ADGRV1,25.344451890785898
ge_npc,102,ASH1L,NRXN3,25.309816594014617
ge_npc,103,KDM5B,MAML2,25.210225084725327
